Trait1	Trait2	Trait3	Trait4	Trait5	Trait6	Trait7	Trait8	Trait9	Trait10	Trait11	Trait12	Trait13	Trait14	Trait15	Trait16	Trait17	Trait18	Trait19	Trait20	Trait21	Trait22	Trait23	Trait24	Trait25	Trait26	Trait27	Trait28	Trait29	Trait30	Trait31	Trait32	Trait33	Trait34	Trait35	Trait36	Trait37	Trait38	Trait39	Trait40	Trait41	Trait42	Trait43	Trait44	Trait45	Trait46	Trait47	Trait48	Trait49	Trait50	Trait51	Trait52	Trait53	Trait54	Trait55	Trait56	Trait57	Trait58	Trait59	Trait60	Trait61	Trait62	Trait63	Trait64	Trait65	Trait66	Trait67	Trait68	Trait69	Trait70	Trait71	Trait72	Trait73	Trait74	Trait75	Trait76	Trait77	Trait78	Trait79	Trait80	Trait81	Trait82	Trait83	Trait84	Trait85	Trait86	Trait87	Trait88	Trait89	Trait90	Trait91	Trait92	Trait93	Trait94	Trait95	Trait96	Trait97	Trait98	Trait99	Trait100	Trait101	Trait102	Trait103	Trait104	Trait105	Trait106	Trait107	Trait108
Y83	0.0785	0.005	0.0345	0.0009347	4	0.009	6.44975e-05	15	0.002133333	3.43673e-06	0.081	0.005	0.0335	0.000889	4	0.008625	5.68175e-05	14	0.001928571	2.5715e-06	0.071	0.004	0.0315	0.0008018	4	0.007875	4.72175e-05	13	0.002	2.91638e-06	0.037	0.001	0.0135	0.0001412	2	0.005	1.8055e-05	8	0.00119075	1.04781e-06	0.0405	0.001	0.013	0.0001285	2	0.00425	1.3145e-05	7	0.000996043	1.2022e-06	0.0437445652173913	0.00162153804347826	0.015945652173913	0.000215823152173913	2.01086956521739	0.0052287137826087	2.25679706521739e-05	7.75	0.0015064575	1.86944522826087e-06	0.081	0.005	0.0435	0.001	8	0.0085625	5.97938e-05	17	0.001588235	2.55676e-06	0.0835	0.006	0.003238095	0.0009354	4	0.008125	5.3465e-05	15	0.0018	2.52426e-06	0.0775	0.005	0.033	0.0008552	4	0.009125	6.40175e-05	15	0.0017503	2.19578e-06	440	406530	475	411100	395	319820	235	85880	275	87150	277.989130434783	140571.489130435	375	4e+05	802.6190476	506460	445	414480
Y85	0.1035	0.008	0.0445	0.002	5	0.0099	7.8882e-05	16	0.0018125	2.48252e-06	0.1025	0.008	0.0405	0.001	6	0.008166667	5.34133e-05	18	0.001459561	1.89121e-06	0.1025	0.008	0.0405	0.001	6	0.007833333	4.8575e-05	16	0.0015625	2.03975e-06	0.037	0.001	0.009	6.81e-05	1	0.003	7.902e-06	6	0.00095355	8.29533e-07	0.0455	0.002	0.0175	0.0002405	4	0.00375	1.0249e-05	12	0.0011075	1.02e-06	0.049	0.002	0.0205	0.0003315	2	0.006	2.722e-05	9	0.002	1.84256e-06	0.095	0.008	0.04	0.001	7	0.007428571	4.65529e-05	14	0.002142857	3.49743e-06	0.087	0.006	0.003761905	0.001	7	0.007714286	4.76671e-05	18	0.001404589	1.4793e-06	0.089	0.006	0.036	0.001	6	0.0075	4.61167e-05	17	0.0025	4.66992e-06	590	6e+05	620	7e+05	620	7e+05	280	93190	280	175950	285	166850	550	7e+05	832.3809524	5e+05	530	5e+05
Y86	0.0945	0.007	0.038	0.001	4	0.009125	6.86675e-05	11	0.002545455	4.73927e-06	0.082	0.006	0.032	0.0008317	4	0.007375	4.275e-05	11	0.002454545	4.263e-06	0.0855	0.006	0.035	0.0009413	4	0.009375	6.658e-05	12	0.002166667	3.64042e-06	0.032	0.0008006	0.0105	8.575e-05	1	0.0035	1.121e-05	5	0.0012	1.5254e-06	0.0255	0.0005208	0.01	7.659e-05	1	0.004	1.101e-05	5	0.00096194	7.4544e-07	0.028	0.0006449	0.01	7.252e-05	1	0.0035	9.943e-06	5	0.0009951	9.7386e-07	0.102	0.008	0.0375	0.001	4	0.008875	6.264e-05	11	0.002363636	4.80118e-06	0.0905	0.006	0.003809524	0.001	3	0.008833333	6.438e-05	12	0.002666667	5.07575e-06	0.093	0.007	0.039	0.001	4	0.00975	7.43775e-05	12	0.002058824	3.24624e-06	565	6e+05	500	516830	505	505870	215	71485	155	44421	180	57238	645	7e+05	866.9047619	5e+05	540	6e+05
Y88	0.093	0.007	0.0395	0.001	6	0.008916667	6.165e-05	16	0.002375	4.66869e-06	0.081	0.005	0.031	0.0007758	5	0.0067	3.5546e-05	15	0.002333333	3.38813e-06	0.0835	0.006	0.035	0.0009553	6	0.00725	4.23167e-05	16	0.002	3.42256e-06	0.067	0.004	0.023	0.0004157	3	0.0065	3.29067e-05	8	0.002	2.76488e-06	0.053	0.002	0.0195	0.0003025	2	0.00625	2.8705e-05	10	0.0016	2.2037e-06	0.0555	0.003	0.023	0.0004232	4	0.0065	3.1175e-05	11	0.002181818	2.804e-06	0.067	0.004	0.023	0.0004157	8	0.0069375	3.71163e-05	16	0.0018125	2.25031e-06	0.053	0.002	0.001857143	0.0003025	9	0.006555556	3.45978e-05	19	0.001894737	2.89489e-06	0.0555	0.003	0.023	0.0004232	8	0.0068125	3.52913e-05	17	0.001923077	2.38438e-06	535	6e+05	500	422420	485	504470	440	358430	335	169750	325	257680	440	358430	511.4285714	169750	325	257680
Y89	0.082	0.005	0.0365	0.001	7	0.0085	5.90771e-05	14	0.001928571	2.46893e-06	0.087	0.006	0.0355	0.001	8	0.007125	3.86838e-05	15	0.002066667	3.21447e-06	0.0865	0.006	0.0365	0.001	7	0.007571429	4.53143e-05	15	0.0018	2.708e-06	0.043078125	0.00160885416666667	0.0159010416666667	0.00039732625	2.05208333333333	0.00513263889583333	2.22375885416667e-05	7.27083333333333	0.00151103478125	1.86611648958333e-06	0.043421875	0.00159772395833333	0.0153958333333333	0.000207062395833333	2.0625	0.00454210070833333	1.78480946875e-05	7.54166666666667	0.00134849792708333	0.000657907381645833	0.0437445652173913	0.00162153804347826	0.015945652173913	0.000215823152173913	2.01086956521739	0.0052287137826087	2.25679706521739e-05	7.75	0.0015064575	1.86944522826087e-06	0.0655	0.003	0.029	0.0006848	4	0.008125	5.515e-05	13	0.002076923	2.73708e-06	0.065	0.003	0.002619048	0.0006559	4	0.00775	4.80575e-05	14	0.001928571	0.000859948	0.065	0.003	0.027	0.000602	4	0.00775	4.725e-05	13	0.001846154	2.27562e-06	455	4e+05	515	5e+05	500	5e+05	271.770833333333	138168.416666667	280.260416666667	139066.15625	277.989130434783	140571.489130435	365	231520	623.8095238	234410	380	239800
Y90	0.081	0.005	0.039	0.001	6	0.008166667	5.294e-05	13	0.002153846	3.07346e-06	0.0835	0.006	0.0355	0.0009809	6	0.007333333	4.1915e-05	14	0.001928571	2.7735e-06	0.095	0.007	0.036	0.0009984	6	0.008	4.70867e-05	14	0.001971107	3.12414e-06	0.043078125	0.00160885416666667	0.0159010416666667	0.00039732625	2.05208333333333	0.00513263889583333	2.22375885416667e-05	7.27083333333333	0.00151103478125	1.86611648958333e-06	0.043	0.001	0.0175	0.0002453	4	0.005	1.866e-05	10	0.00099172	1.06498e-06	0.039	0.001	0.017	0.0002253	3	0.004333333	1.517e-05	11	0.001065727	8.36797e-07	0.073	0.004	0.032	0.0007944	5	0.0076	4.598e-05	14	0.001714286	1.95843e-06	0.071	0.004	0.003190476	0.0008667	5	0.0084	5.2254e-05	15	0.001866667	2.4506e-06	0.0705	0.004	0.0305	0.0007142	5	0.0072	4.1682e-05	13	0.00168405	2.44213e-06	420	4e+05	480	501910	590	600160	271.770833333333	138168.416666667	255	75470	220	77470	410	320560	678.0952381	313330	400	328580
Y92	0.0745	0.004	0.0275	0.0005931	5	0.0069	3.9214e-05	14	0.001357143	1.50359e-06	0.0775	0.005	0.025	0.000492	4	0.006125	2.8755e-05	13	0.001218777	1.2478e-06	0.076	0.005	0.028	0.0005889	5	0.0066	3.6242e-05	14	0.001563879	1.80811e-06	0.0355	0.0009374	0.0125	0.0001267	2	0.00325	7.1545e-06	8	0.000880575	7.40275e-07	0.0325	0.0008135	0.0115	0.0001103	2	0.00375	1.0922e-05	7	0.000962714	1.01963e-06	0.0355	0.0009578	0.012	0.0001189	2	0.004	1.411e-05	7	0.001	1.00043e-06	0.0915	0.007	0.035	0.001	7	0.006857143	3.66886e-05	19	0.000952821	1.05609e-06	0.088680412371134	0.00630927835051546	0.00372336771134021	0.000983482474226804	5.42268041237113	0.00740272664948454	6.43126144329897e-05	14.9175257731959	0.00205092810309278	1.24515924123711e-05	0.093	0.007	0.0435	0.002	8	0.008	5.26775e-05	16	0.002416667	4.77275e-06	470	340690	525	450800	480	441110	230	81070	210	70320	235	83890	565	6e+05	849.570446756701	532579.587628866	495	5e+05
Y93	0.0795	0.005	0.0365	0.001	5	0.0086	5.9078e-05	13	0.002692308	4.68795e-06	0.084	0.006	0.036	0.001	5	0.0065	3.4836e-05	14	0.002428571	3.96979e-06	0.082	0.005	0.034	0.0008949	7	0.006214286	3.02853e-05	14	0.001928571	3.35293e-06	0.05	0.002	0.0205	0.0003114	3	0.0055	2.47433e-05	9	0.001771644	2.49612e-06	0.055	0.002	0.0225	0.0004055	5	0.0047	1.86464e-05	9	0.001777778	2.35278e-06	0.0545	0.002	0.023	0.0004131	4	0.006	2.96e-05	9	0.001888889	2.45767e-06	0.0775	0.005	0.033	0.0009081	5	0.0077	4.6056e-05	12	0.002083333	3.236e-06	0.079	0.005	0.00347619	0.001	5	0.0087	5.8236e-05	14	0.0022699	4.53171e-06	0.0835	0.006	0.036	0.0009649	5	0.0078	5.1882e-05	12	0.001769231	2.52846e-06	430	4e+05	480	5e+05	480	410510	295	168860	325	159450	315	158690	445	409190	755.2380952	4e+05	475	503510
Y94	0.076	0.004	0.0295	0.0006885	4	0.007625	5.1245e-05	11	0.002454545	3.95236e-06	0.0805	0.005	0.0275	0.0006262	3	0.008333333	5.57767e-05	10	0.0021	3.1815e-06	0.073	0.004	0.028	0.0006476	3	0.008166667	5.49433e-05	12	0.002083333	2.78433e-06	0.0405	0.001	0.0145	0.0001729	1	0.007	3.567e-05	6	0.001829083	1.96733e-06	0.0365	0.001	0.014	0.0001662	1	0.0055	2.571e-05	6	0.0015	1.72633e-06	0.049	0.002	0.0175	0.0002385	2	0.00625	3.289e-05	8	0.001625	1.59538e-06	0.085	0.006	0.035	0.000943	6	0.0085	5.8945e-05	12	0.002083333	2.87108e-06	0.086	0.006	0.002714286	0.0006386	3	0.0085	5.09e-05	11	0.001909091	3.00636e-06	0.0805	0.005	0.032	0.0008095	6	0.00775	4.7935e-05	13	0.001605654	2.19238e-06	465	331150	530	437380	450	335240	260	82710	225	83380	315	176150	500	505700	832.8571429	536140	485	419050
Y97	0.094	0.007	0.0395	0.001	4	0.009375	7.25975e-05	12	0.002	3.57958e-06	0.084	0.006	0.034	0.000859	4	0.00725	3.733e-05	16	0.00175	2.71681e-06	0.0945	0.007	0.0385	0.001	4	0.009	6.0495e-05	14	0.002071429	3.57529e-06	0.037	0.001	0.0155	0.0001903	2	0.004	1.3035e-05	7	0.001136314	1.14434e-06	0.0585	0.003	0.0215	0.00036	3	0.005666667	2.597e-05	9	0.001333333	1.70444e-06	0.0585	0.003	0.0215	0.00036	2	0.0055	2.2065e-05	10	0.0014	1.56947e-06	0.0865	0.006	0.0335	0.0008994	5	0.007	4.1606e-05	15	0.0018	2.34405e-06	0.088680412371134	0.00630927835051546	0.00372336771134021	0.000983482474226804	5.42268041237113	0.00740272664948454	6.43126144329897e-05	14.9175257731959	0.00205092810309278	1.24515924123711e-05	0.0865	0.006	0.0375	0.001	6	0.007083333	3.96033e-05	16	0.001620288	2.11338e-06	545	6e+05	500	514100	560	6e+05	215	80970	370	264000	370	264000	530	510060	849.570446756701	532579.587628866	490	5e+05
Y99	0.087315	0.00609	0.03487	0.000945545	4.61	0.00853778304	5.9153532e-05	13.14	0.00221979064	3.8054173e-06	0.0945	0.007	0.04	0.001	5	0.0091	6.0846e-05	14	0.002	3.82864e-06	0.0925	0.007	0.041	0.001	5	0.0098	7.192e-05	13	0.002846154	6.36823e-06	0.0605	0.003	0.0235	0.0004338	3	0.0075	4.02433e-05	9	0.002	3.74822e-06	0.0715	0.004	0.0235	0.0004424	3	0.005166667	2.092e-05	11	0.001636364	2.57664e-06	0.0437445652173913	0.00162153804347826	0.015945652173913	0.000215823152173913	2.01086956521739	0.0052287137826087	2.25679706521739e-05	7.75	0.0015064575	1.86944522826087e-06	0.0864405940594059	0.00602916237623762	0.0364405940594059	0.00104243735148515	6.13861386138614	0.00803871995049505	6.43556534653465e-05	15.3069306930693	0.00200501446534653	3.24707118811881e-06	0.106	0.008	0.004095238	0.001	6	0.00875	6.16267e-05	17	0.002705882	6.03194e-06	0.102	0.008	0.0475	0.002	6	0.009833333	7.27833e-05	17	0.003117647	6.93265e-06	524.45	514445.5	545	6e+05	515	6e+05	370	256620	480	355760	277.989130434783	140571.489130435	500	498672.502475248	1019.047619	7e+05	545	6e+05
Y104	0.082	0.005	0.0305	0.0007376	4	0.008	4.92275e-05	13	0.001923077	3.24169e-06	0.085	0.006	0.031	0.0007374	4	0.007625	4.79425e-05	13	0.001923077	3.04162e-06	0.0765	0.004	0.036	0.001	4	0.009375	5.7565e-05	11	0.002727273	5.59873e-06	0.047	0.002	0.015	0.0001776	1	0.007	4.336e-05	7	0.002	1.83114e-06	0.043421875	0.00159772395833333	0.0153958333333333	0.000207062395833333	2.0625	0.00454210070833333	1.78480946875e-05	7.54166666666667	0.00134849792708333	0.000657907381645833	0.047	0.002	0.015	0.0001763	1	0.0075	4.391e-05	7	0.001714286	2.12e-06	0.087	0.006	0.034	0.0008908	4	0.008375	5.4465e-05	14	0.001857143	2.817e-06	0.0895	0.006	0.003095238	0.0007984	4	0.008375	5.19075e-05	13	0.001538462	2.31923e-06	0.0895510204081633	0.00643877551020408	0.0368163265306122	0.00105913571428571	5.75510204081633	0.00822741737755102	5.43998602040816e-05	15.2959183673469	0.00202949065306122	3.37679867346939e-06	515	426240	540	526260	405	3e+05	320	182240	280.260416666667	139066.15625	320	182370	530	510920	864.047619	520160	527.34693877551	537963.979591837
Y105	0.076	0.004	0.031	0.0007891	4	0.008	5.114e-05	11	0.002	3.02618e-06	0.083	0.005	0.0355	0.0009618	3	0.009666667	7.01233e-05	11	0.002181818	4.33136e-06	0.092	0.006	0.038	0.001	5	0.0081	5.0634e-05	11	0.002636364	5.17273e-06	0.0355	0.001	0.0165	0.0002139	1	0.0075	4.493e-05	6	0.002	3.10467e-06	0.059	0.003	0.022	0.0004321	3	0.007	2.79867e-05	9	0.002	3.07689e-06	0.0437445652173913	0.00162153804347826	0.015945652173913	0.000215823152173913	2.01086956521739	0.0052287137826087	2.25679706521739e-05	7.75	0.0015064575	1.86944522826087e-06	0.085	0.006	0.0355	0.0009956	4	0.00925	6.48325e-05	10	0.0025	4.8555e-06	0.088680412371134	0.00630927835051546	0.00372336771134021	0.000983482474226804	5.42268041237113	0.00740272664948454	6.43126144329897e-05	14.9175257731959	0.00205092810309278	1.24515924123711e-05	0.0785	0.005	0.0355	0.001	4	0.009125	6.46575e-05	10	0.0029	5.8259e-06	450	321090	475	403820	540	5e+05	190	78610	370	256790	277.989130434783	140571.489130435	495	500440	849.570446756701	532579.587628866	430	4e+05
Y106	0.1	0.008	0.0465	0.002	8	0.0076875	5.0215e-05	16	0.0028125	7.05013e-06	0.0935	0.007	0.051	0.002	7	0.008285714	5.08886e-05	17	0.003058824	7.52671e-06	0.078	0.005	0.039	0.001	6	0.007666667	4.381e-05	16	0.0024375	4.74575e-06	0.0405	0.001	0.0125	0.0001344	2	0.004	1.15215e-05	6	0.001666667	1.59217e-06	0.036	0.0009797	0.011	9.308e-05	1	0.0035	1.004e-05	5	0.0014	1.7392e-06	0.042	0.001	0.0125	0.0001166	1	0.005	1.79e-05	6	0.001833333	2.187e-06	0.098	0.007	0.047	0.002	7	0.008642857	6.10586e-05	17	0.002823529	5.911e-06	0.099	0.008	0.004761905	0.002	5	0.0105	8.345e-05	17	0.003294118	7.52059e-06	0.1015	0.008	0.0495	0.002	7	0.009357143	6.851e-05	17	0.003	6.59794e-06	535	6e+05	425	5e+05	390	4e+05	280	86560	250	88662	295	88340	510	5e+05	942.3809524	6e+05	520	6e+05
